"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Nov-2025","EQ","287.01","291.08","287.01","289.49","291.00","290.82","289.55","295.38","231.30","38,12,506","1,10,39,08,971.92","34,371"
"10-Nov-2025","EQ","289.89","290.30","288.13","288.44","289.77","289.49","289.59","295.38","231.30","48,84,041","1,41,43,62,721.64","54,338"
"07-Nov-2025","EQ","288.24","289.16","286.35","288.24","288.70","288.44","287.57","295.38","231.30","58,82,266","1,69,15,68,703.17","46,962"
"06-Nov-2025","EQ","290.40","290.40","287.98","289.59","288.45","288.24","288.80","295.38","231.30","68,69,446","1,98,38,65,763.25","69,089"
"04-Nov-2025","EQ","291.54","291.64","289.50","291.35","289.59","289.59","290.03","295.38","231.30","52,83,417","1,53,23,62,832.69","58,990"
"03-Nov-2025","EQ","292.79","292.79","290.05","291.08","291.30","291.35","291.14","295.38","231.30","67,86,625","1,97,58,32,583.62","68,726"
"31-Oct-2025","EQ","295.00","295.00","290.90","292.58","291.17","291.08","291.73","295.38","231.30","44,43,200","1,29,62,30,684.13","36,859"
"30-Oct-2025","EQ","294.99","294.99","291.91","294.50","292.75","292.58","292.88","295.38","231.30","45,22,400","1,32,45,24,386.47","37,883"
"29-Oct-2025","EQ","291.01","294.90","291.01","293.10","294.80","294.50","294.36","295.38","231.30","58,29,864","1,71,60,97,255.85","35,901"
"28-Oct-2025","EQ","294.99","294.99","292.00","293.35","293.15","293.10","292.98","295.38","231.30","56,95,772","1,66,87,50,494.80","37,645"
"27-Oct-2025","EQ","294.18","294.33","290.01","291.04","293.30","293.35","293.26","295.38","231.30","64,59,908","1,89,44,43,094.80","48,653"
"24-Oct-2025","EQ","294.99","294.99","290.14","292.39","291.20","291.04","291.47","295.38","231.30","59,56,293","1,73,61,08,946.14","40,725"
"23-Oct-2025","EQ","293.13","295.38","291.88","291.87","292.60","292.39","293.95","295.38","231.30","83,27,299","2,44,78,08,186.37","54,887"
"21-Oct-2025","EQ","292.92","292.92","291.49","291.86","291.65","291.87","292.13","295.30","231.30","18,18,933","53,13,58,518.02","31,657"
"20-Oct-2025","EQ","292.49","292.54","289.01","290.17","292.00","291.86","291.68","295.30","231.30","76,01,294","2,21,71,41,461.63","56,406"
"17-Oct-2025","EQ","288.69","290.95","287.86","288.70","290.23","290.17","289.79","295.30","231.30","1,05,88,073","3,06,83,13,333.46","45,999"
"16-Oct-2025","EQ","277.49","289.00","277.49","286.07","288.51","288.70","287.90","295.30","231.30","84,82,862","2,44,22,24,383.20","39,129"
"15-Oct-2025","EQ","284.28","286.45","283.73","283.69","286.15","286.07","285.74","295.30","231.30","56,44,935","1,61,29,59,328.57","37,510"
"14-Oct-2025","EQ","286.39","286.39","282.92","284.64","283.70","283.69","284.00","295.30","231.30","49,83,304","1,41,52,70,455.32","38,987"
"13-Oct-2025","EQ","285.15","285.15","283.69","285.52","284.90","284.64","284.32","295.30","231.30","39,39,547","1,12,01,09,047.32","59,502"
"10-Oct-2025","EQ","284.78","285.95","282.01","284.05","285.59","285.52","285.45","295.30","231.30","39,12,389","1,11,67,80,192.55","39,842"
"09-Oct-2025","EQ","282.88","284.24","282.24","282.38","284.00","284.05","283.47","295.30","231.30","39,85,452","1,12,97,53,013.96","33,929"
"08-Oct-2025","EQ","283.75","284.18","282.01","283.41","282.48","282.38","283.01","295.30","231.30","56,58,365","1,60,14,00,305.28","44,809"
"07-Oct-2025","EQ","283.49","284.50","282.64","283.07","283.67","283.41","283.78","295.30","231.30","62,04,149","1,76,05,99,207.56","42,586"
"06-Oct-2025","EQ","281.58","283.20","280.70","281.16","283.20","283.07","282.00","295.30","231.30","55,11,685","1,55,42,75,916.74","87,994"
"03-Oct-2025","EQ","280.89","281.31","279.08","280.51","281.30","281.16","280.48","295.30","231.30","48,67,050","1,36,51,08,768.08","51,365"
"01-Oct-2025","EQ","276.66","280.63","270.58","277.52","280.60","280.51","279.39","295.30","231.30","49,24,597","1,37,58,78,358.98","48,979"
"30-Sep-2025","EQ","279.99","279.99","277.25","278.54","277.90","277.52","277.95","295.30","231.30","90,51,079","2,51,57,77,306.91","60,063"
"29-Sep-2025","EQ","279.99","280.25","278.19","278.74","279.26","278.54","279.11","295.30","231.30","42,01,038","1,17,25,40,616.52","47,426"
"26-Sep-2025","EQ","281.69","281.69","278.49","281.24","278.89","278.74","279.37","295.30","231.30","55,97,250","1,56,37,26,326.46","58,738"
"25-Sep-2025","EQ","283.69","283.69","281.01","282.88","281.37","281.24","282.00","295.30","231.30","30,36,126","85,61,96,754.44","39,339"
"24-Sep-2025","EQ","282.01","284.81","282.01","284.35","282.95","282.88","283.22","295.30","231.30","42,65,674","1,20,81,03,297.38","39,355"
"23-Sep-2025","EQ","285.39","285.39","283.01","284.49","284.55","284.35","284.14","295.30","231.30","43,75,351","1,24,31,91,705.12","34,315"
"22-Sep-2025","EQ","285.48","285.79","284.11","285.90","284.45","284.49","285.12","295.30","231.30","30,43,743","86,78,34,743.21","45,691"
"19-Sep-2025","EQ","295.30","295.30","285.30","286.70","286.00","285.90","285.76","295.30","231.30","37,26,008","1,06,47,61,133.62","38,306"
